category,localite,piece,chambres,area,price,monthly,description,Diagnostic de performance énergétique(kWhEP/m².an),Indice d'émission de gaz à effet de serre(kgeqCO2/m².an),plus,type
Maison / Villa,Cabris,9 pièces,280 m²,6 pièces,1 350 000 €,5 572 €,"style=""max-height: 66px;""><p>CABRIS VENTE VILLA CONTEMPORAINE NEUVE Située dans l'arrière pays Cannois, sur la commune du charmant village de Cabris, Dans un domaine sécurisé, venez découvrir cette superbe villa moderne en cours de construction de 300 m² sur 2 niveaux. Vous y trouverez de très belles prestations. Au rez-de-jardin une entrée, un grand séjour de 127 m² environ, d'une chambre maître avec sa salle de bain/douche/toilettes. Au premier étage elle bénéficie d'un coin bureau, d'une chambre avec sa salle d'eau avec toilettes ainsi que deux autres chambres l'une salle d'eau et toilettes l'autre avec une salle de bain avec double vasque et toilettes. Possibilités de modifications intérieures. Côté extérieur un grand garage d'environ 46m², d'une piscine miroir à débordement 14/5 volet roulant et margelles immergées. Le tout sur une parcelle de 5000 M².</p><butto",,,"['Orientation Sud', 'Vue', 'Piscine', 'Surface de 300m²', '5 Pièces', '4 Chambres', 'Année de construction 2020', 'Refait à neuf', '4 Salles de bain', '3 Toilettes', 'Toilette séparée', 'Chauffage individuel', 'Cuisine aucune', 'Une entrée', 'Salle de séjour : 126,99m²', 'Terrain de 5000m²', '1 Box']",Acheter
Appartement<!-- --> en viager,"Quartier <!-- -->Île de Nantes<!-- -->, <!-- -->Nantes",5 pièces,104 m²,5 pièces,164 720 €,688 €,"style=""max-height: 66px;""><p>Descriptif du bien: Dans une résidence située sur l'île de Nantes, en bordure de la Loire, investissez dans cet appartement Type 5 de 108 m², situé au 3° étage avec ascenseur et vue dégagée.</p><p>Entrée, séjour, salon, cuisine séparée, 3 chambres, salle de bain, dressing, salle d'eau.</p><p>L'appartement est prolongé de deux balcons, dont un d'angle de 16 m², et bénéficie d'un stationnement sécurisé en sous-sol.</p><p>Tramway et commerces proches. Centre-ville accessible très rapidement.</p><p>Analyse financière: VIAGER OCCUPE - NANTES</p><p>Devenez propriétaire de cet appartement comprenant 5 pièces, à des conditions très avantageuses en versant un bouquet de 164 720 EUR FAI.</p><p>Vous pourrez habiter ou louer le bien en cas de libération.</p><p>Placement idéal et sécurisé pour maîtriser le coût et la durée de l'investissement.</p><butto",1.0,1.0,"['2 Balcons', 'Vue', 'Surface de 108m²', 'Bâtiment de 4 étages', '5 Pièces', '4 Chambres', 'Année de construction 1975', 'Au 3ème étage', '1 Salle de bain', ""1 Salle d'eau"", 'Cuisine séparée', 'Une entrée', 'Salle de séjour']",Acheter
Immeuble,"Quartier <!-- -->Est<!-- -->, <!-- -->Lodève",240 m²,225 m²,180 m²,160 000 €,668 €,"style=""max-height: 66px;""><p>RARE ! LODEVE, à deux pas du Musée Fleury, beaucoup de charme et de potentiel pour cet immeuble en R + 2 de 135 m² plus ses dépendances organisées autour d'un patio offrant libre court à votre imagination.. Petite restauration, atelier d'artistes ou d'artisans, salon de thé, gîte ou chambres d'hôtes, maison familiale, venez vous faire votre propre idée ! Travaux à prévoir. Le plus: un duplex indépendant de 31m² exploitable immédiatement. Contact: Lauriane AYORA.</p><butto",,,"['Surface de 200m²', 'Bâtiment de 2 étages', '1 Box', 'Travaux']",Acheter
Maison / Villa,"Quartier <!-- -->Zone Pavillonnaire<!-- -->, <!-- -->Chaponost",1 pièce,40 m²,1 pièce,149 900 €,627 €,"style=""max-height: 66px;""><p>EXCLUSIVITÉ - Ouest Immo Conseils vous propose sur la commune de Thurins, dans un quartier résidentiel au calme, hors lotissement, un bâti de 40 m² à rénover sur une belle parcelle de terrain de 180 m². À deux pas des bus TCL direction Lyon, Droits à construire conséquent. A SAISIR RAPIDEMENT.</p><p> Pour plus de renseignements contacter OUEST IMMO CONSEIL, Manon Gayet ou Corentin Thoinet avec la référence 3032MGE CRAPONNE IMMOBILIER DEPUIS 1995 et CHAMPAGNE AU MONT D'OR IMMOBILIER DEVIENNENT OUEST IMMO CONSEILS OUVERT NON STOP DU LUNDI AU SAMEDI DE 9 A 19H.</p><butto",120.0,20.0,"['Surface de 40m²', '1 Pièce', '1 Chambre', 'Cuisine aucune', 'Terrain de 180m²', 'Travaux', 'Calme']",Acheter
Maison / Villa,Morée,9 pièces,185 m²,6 pièces,272 480 €,1 132 €,"style=""max-height: 66px;""><p>Maison/Villa 8 pièces Superbe pavillon de 172m² vous offre une belle pièce de vie 52m² avec cheminée et acuisine aménagée et équipée, bureau aussi avec une cheminée, deux chambres, salle de bains. A l'étage: Cinq chambres, salle de bains, WC. Au sous-sol: grand garage, atelier Double vitrage, visiophone. Vous serez séduit par ce magnifique jardin et la terrasse exposée plein sud.</p><butto",223.0,39.0,"['Orientation Sud', 'Cheminée', 'Surface de 175m²', 'Bâtiment de 1 étage', '8 Pièces', '4 Chambres', 'Année de construction 1980', '2 Salles de bain', 'Chauffage individuel gaz', 'Cuisine séparée', 'Une entrée', 'Terrain de 6849m²']",Acheter
Maison / Villa,"Quartier <!-- -->Henriville<!-- -->, <!-- -->Amiens",6 pièces,190 m²,9 pièces,395 960 €,1 641 €,"style=""max-height: 66px;""><p>A vendre, dans un secteur recherché, quartier Henriville, à proximité des écoles, des commerces et d'un arrêt de bus, belle et grande demeure avec cachet, magnifiques volumes, accompagnée d'une petite terrasse, d'un jardin et d'un sous-sol avec garage. Cette belle maison offre au rez-de-chaussée de grandes pièces de vies sur carrelage, une cuisine aménagée et équipée avec baies vitrées donnant sur la terrasse, une arrière cuisine et un toilette. Au premier étage entièrement sur parquet massif, trois grandes chambres, une pièce palière pouvant être utilisée en bureau, une salle de bain, une salle d'eau et un toilette. Enfin, au dernier étage, grenier aménagé en deux chambres très lumineuses. Cette maison pleine de charme et idéalement située saura vous séduire, ne la manquez pas et venez la visiter ! Contactez Morgane AUDEGOND ou par mail - pour plus de renseignements. Ce bien est consultable sur notre site et notre page Vertig Immo. Rejoignez-nous ! Dont 4.20 % honoraires TTC à la charge de l'acquéreur.</p><butto",,,"['Cave', '1 Terrasse', 'Surface de 234m²', 'Bâtiment de 2 étages', '11 Pièces', '5 Chambres', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Parquet', 'Cuisine séparée équipée', 'Terrain de 107m²', 'Orientation Est']",Acheter
Parking,"Quartier <!-- -->Europe<!-- -->, <!-- -->Brest",,,,10 500 €,10 500 €,"style=""max-height: 66px;""><p>** BREST - KERZU ** Investisseur ou particulier, vous cherchez un garage bien placé et déjà loué ? Ce garage box de 15 m² est idéal pour accueillir une voiture ou faire du stockage. Mezzanine possible. Loyer actuel: 58 euros/mois. Présence d'électricité. Non soumis à DPE. SURFACES - utile 15m². Dimension 5,5m par 2,8m.. Laissez vous convaincre par une visite. Les honoraires sont à la charge du vendeur. Bien dépendant de la copropriété. - Nombre de lots de la copropriété: 20. Montant moyen annuel de la quote-part de charge (budget prévisionnel): 80 euros soit 7 euros par mois. Pas de procédure en cours.. Réseau immobilier ICOMI FRANCE. Contact: LANGUENOU YANN - - Agent Commercial Associé - BREST 799261441 - Référence: 305424 ** LIVRÉ D OR DISPONIBLE SUR LE WEB **.</p><butto",,,"['Surface de 15m²', 'Situation : ville']",Acheter
,,,,,,,,,,[],Acheter
Appartement,"Quartier <!-- -->Rue de Versailles-Monastere<!-- -->, <!-- -->Ville-d'Avray",6 pièces,170 m²,6 pièces,990 000 €,4 089 €,"style=""max-height: 66px;""><p>IAD France - Sabine DOUTRIAUX vous propose: **VILLE D'AVRAY - RARE-EMPLACEMENT EXCEPTIONNEL**. Venez découvrir cet **APPARTEMENT DE 6 PIÈCES, SPACIEUX ET LUMINEUX de 164 m² environ**, au 2e et dernier étage, avec son superbe espace de vie de plus de 50 m² environ FACE AUX ÉTANGS DE COROT. Dans une Résidence parfaitement entretenue (petite copro), au calme et entourée de verdure. **IDÉAL FAMILLE – 4 VRAIES CHAMBRES**. 2 entrées, double salon/séjour avec cheminée et salle à manger en enfilade orientés plein sud. Cuisine dînatoire indépendante. Lumière traversante. 4 belles chambres de 19,14 et 13 m² environ avec rangements intégrés dont une suite parentale. 1 salle de bains avec douche en sus, et 1 salle d'eau. 2 toilettes indépendants. Nombreux rangements. Vous souhaitez un extérieur, Rooftop possible sur toute la surface, validé avec la copro. 2 emplacements de parking en sous-sol et 2 caves complètent ce bien. Charges mensuelles maîtrisées 500 eur/mois. Rafraîchissement à prévoir. Ce bien est idéalement situé à 5 mn à pied des commerces, des écoles maternelles et primaires. Le centre-ville est à 10 mn à pied, avec son marché, son collège et toutes les activités extra-scolaires (piscine, cinéma, sport, bibliothèque..). A 1/4h, la Gare de Sèvres-Ville d'Avray (Ligne L&amp;U – La Défense/St Lazare). Pour les expatriés, Collège et Lycée international de Sèvres à 1/4h. Noyée dans un écrin de verdure, Ville d'Avray bénéficie encore d'une ambiance village à 1/4h de Paris</p><p>**BELLE SURFACE - BEAUX VOLUMES - CALME**, rare dans le secteur, A VISITER AU PLUS VITE sur rendez-vous.</p><p>La présente annonce immobilière vise 2 lots principaux situés dans une copropriété formant 12 lots au total ne faisant l'objet d'aucune procédure en cours et d'un montant de charges d'environ 500 euros par mois (soit 6000 euros annuel) déclaré par le vendeur.Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien: DPE D indice 204 et GES F indice 61. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mme Sabine DOUTRIAUX (ID 27459), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de Nanterre sous le numéro 834554784.</p><butto",204.0,61.0,"['Orientation Sud', 'Cave', 'Cheminée', 'Surface de 163m²', 'Bâtiment de 2 étages', '6 Pièces', '4 Chambres', 'Année de construction 1970', 'Au 2ème étage', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Toilette séparée', 'Rangements', 'Chauffage central fuel radiateur', 'Cuisine équipée', 'Salle à manger', 'Salle de séjour : 15m²', '1 Parking', 'Interphone', 'Calme']",Acheter
Appartement,"Quartier <!-- -->Port Marianne<!-- -->, <!-- -->Montpellier",1 pièce,23 m²,1 pièce,135 000 €,565 €,"style=""max-height: 66px;""><p>A proximité du quartier Port Marianne et de la Nouvelle Mairie, Proche tramway (1,3,4) Au sein d'une résidence de standing Studio de 23 m² agréable et lumineux au 7ème étage composé d'un séjour cuisine ouvrant sur une terrasse de 9,20m² exposée Sud Ouest, sans vis à vis avec une belle vue dégagée Parking au sous-sol Surface CARREZ: 23,90 m² Honoraires charge vendeur Bien soumis au statut juridique de la Copropriété. Nb de lots: 58. Charges annuelles de copropriété (Montant moyen annuel quote-part du budget prévisionnel vendeur): 720 euros. Contacter Claire MARTY Agence URBAN IMMO / RSAC: 849 573 613 Mail: Surface CARREZ: 23.9 m².</p><butto",43.0,6.0,"['Orientation Sud-Ouest', '1 Terrasse', 'Vue', 'Ascenseur', 'Surface de 24m²', 'Bâtiment de 8 étages', '1 Pièce', 'Année de construction 2019', 'Au 7ème étage', 'Chauffage électrique', 'Cuisine séparée', 'Salle de séjour : 18m²', '1 Parking', 'Orientation Ouest']",Acheter
Maison / Villa,"Quartier <!-- -->Centre Ville<!-- -->, <!-- -->Vendôme",4 pièces,150 m²,5 pièces,128 000 €,536 €,"style=""max-height: 66px;""><p>Nord Ouest Vendôme, à 15 min de la gare TGV, dans bourg avec écoles et petits commerces, beaucoup de charme pour cette maison composée de: Au rez-de-chaussée: petit salon, séjour, cuisine, chambre, salle de bains, WC. Au 1er étage: palier, 3 chambres. Grenier aménageable. Arrière cuisine - buanderie - chaufferie avec douche. Appentis, garage. Cave. Jardin 915 m². Idéalement situé à 42 minutes de Paris par le TGV, Vendôme offre une grande qualité de vie à ses habitants. Notre agence est située au coeur du centre historique, sur la place principale de Vendôme et implantée depuis plus de 40 ans sur la région. Composée de véritables professionnels de l'immobilier expérimentés, nous vous proposons à l'achat ou à la location un large choix de maisons, propriétés, fermettes, immeubles, appartements.. Nous assurons également la gestion intégrale de bien sur l'ensemble de la Vallée du Loir. Du lundi au samedi, nos conseillers vous accueillent dans une ambiance moderne et chaleureuse afin de définir et de réaliser ensemble tous vos projets immobiliers. Indicateur Vendômois. Indicateur Vendômois. Indicateur Vendômois. Indicateur Vendômois. Indicateur Vendômois. Indicateur Vendômois. Indicateur Vendômois.</p><butto",,,"['Cave', '1 Terrasse', 'Surface de 129m²', '6 Pièces', '4 Chambres', '1 Salle de bain', '1 Toilette', 'Chauffage individuel', 'Salle de séjour : 21,93m²', 'Terrain de 915m²', '1 Box', 'Orientation Nord-Ouest']",Acheter
Maison / Villa,Génissieux,4 pièces,92 m²,5 pièces,224 999 €,936 €,"style=""max-height: 66px;""><p>Venez découvrir ce bien sur les hauteurs de Génissieux, à 3 min en voiture du centre du village, des commodités et des écoles primaires ou du ramassage scolaire pour le secondaire.</p><p> Maison d'environ 93 m² sur un terrain de 420 m².</p><p> Au rez-de-chaussée, une cuisine, une pièce de vie qui donne sur une grande terrasse de 40 m² où l'on peut admirer le Vercors et une salle de bain et à l'étage, 3 belles chambres.</p><p> Double vitrage sur l'ensemble de la maison et des volets roulants électriques.</p><p> Gaz de ville et reliée au tout à l'égout.</p><p> De plus, la maison possède une immense cave de 69 m² et un garage de 16 m².</p><p> Pour visiter, n'hésitez pas à contacter David GOUGOUZIAN / - Annonce rédigée et publiée par un Agent Mandataire -.</p><butto",224.0,52.0,"['1 Terrasse', 'Surface de 93m²', 'Bâtiment de 1 étage', '4 Pièces', '3 Chambres', 'Année de construction 1981', '1 Salle de bain', '2 Toilettes', 'Chauffage individuel gaz radiateur', 'Cuisine aucune', 'Salle de séjour : 25m²', 'Terrain de 420m²', '3 Parkings', '1 Box']",Acheter
Appartement,"Quartier <!-- -->Cimiez<!-- -->, <!-- -->Nice",2 pièces,53.64 m²,3 pièces,214 000 €,891 €,"style=""max-height: 66px;""><p>Appartement à vendre Nice Nord, 3 pièces de 57m² en étage élevé, terrasse de 7 m² exposée Est, cuisine semi ouverte, 2 chambres avec rangements, salle de bains, WC séparés, couloir avec un grand placard encastré, chauffage collectif,, parking sécurisé et cave de 8m3. Proches toutes commodités, transports, écoles, collèges (dépend de Matisse et Calmette).</p><butto",164.0,38.0,"['Cave', '1 Terrasse', 'Ascenseur', 'Surface de 57m²', 'Bâtiment de 15 étages', '3 Pièces', '2 Chambres', 'Au 14ème étage', '1 Salle de bain', '1 Toilette', 'Rangements', 'Cuisine coin cuisine', '1 Parking', 'Interphone', 'Orientation Est']",Acheter
Appartement,"Quartier <!-- -->Carré d'Or<!-- -->, <!-- -->Nice",4 pièces,79 m²,4 pièces,369 000 €,1 530 €,"style=""max-height: 66px;""><p>NICE CARRE D OR CHARMANT 3 pièces DERNIER ETAGE- RARE Rue Cronstadt, nous vous proposons ce bel appartement à vendre de 3 Pièces de 68 m² Carrez et 86 m² au total (parties mansardées mais utilisables), soit 75 m² en moyenne - 5E et dernier étage d'un immeuble bourgeois avec ASCENSEUR arrivant DIRECTEMENT dans L'APPARTEMENT - 2 SALLES D'EAU (baignoire et douche) - très lumineux et cosy, vue dégagée, calme absolu - climatisé - grandes chambres, dont une avec dressing Une cave complète le bien PRIX DE VENTE: 369 000euros FAIà la charge du vendeur VENTE URGENTE ! Bien soumis au statut de la copropriété, charges 2400euros/ans.</p><butto",232.0,44.0,"['Cave', 'Vue', 'Ascenseur', 'Surface de 75m²', '3 Pièces', '2 Chambres', 'Au 5ème étage', 'Parquet', 'Rangements', 'Cuisine aucune', 'Une entrée', 'Interphone', 'Orientation Est', 'Calme']",Acheter
Appartement,"Quartier <!-- -->Arènes<!-- -->, <!-- -->Nîmes",5 pièces,118 m²,5 pièces,260 000 €,1 080 €,"style=""max-height: 66px;""><p>C'est à 5 mn des Arènes et du lycée Daudet, que vous pourrez découvrir cet appartement T5 de 117 m² avec 4 balcons et 1 parking en sous-sol. Situé au 2ème étage sur 3, il comprend: 1 hall d'entrée, 1 séjour de plus de 30 m² ouvert sur la cuisine aménagée et équipée, 4 chambres, 1 salle de bains, 1 salle d'eau. Il dispose également d'1 cellier sur le palier et d'une cave. Entièrement rénové et au goût du jour, il séduira les acquéreurs les plus exigeants par ses prestations: double vitrage avec volets roulants électriques, parquet dans les chambres et climatisation. A voir sans tarder !</p><butto",196.0,44.0,"['Surface de 117m²', 'Bâtiment de 3 étages', '5 Pièces', '4 Chambres', 'Au 2ème étage', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Parquet', 'Chauffage gaz', 'Cuisine séparée équipée', 'Une entrée', 'Salle de séjour : 33m²', '1 Parking']",Acheter
Maison / Villa,"Quartier <!-- -->Le Clos<!-- -->, <!-- -->Malakoff",8 pièces,298 m²,8 pièces,1 078 000 €,4 451 €,"style=""max-height: 66px;""><p>Dans un secteur recherché, à proximité de la gare de Clamart et du futur métro LIGNE 15 ! Une maison de 10 pièces dont 4 chambres avec la possibilité de créer 2 chambres supplémentaires pour un terrain de 322 m² arboré et verdoyant. Elle se compose de 3 niveaux. Un rez-de-jardin de 109 m² avec un open space, 2 bureaux, un atelier et une cuisine ouverte aujourd'hui affectée à un statut professionnel, mais fait entierrement partit de la maison, son aménagement est libre. Au rez-de-chaussée une entrée indépendante, 2 chambres, un bureau, une salle de bain, 2 WC séparés, un cagibi. Au 1er niveau: un grand salon orienté SUD avec cheminée, une cuisine séparée entierrement équipée, 2 chambres, une mezzanine, une salle de bain et un WC séparé. Le jardin arboré dispose d'une piscine hors sol (3 m de diamètre X 90 cm) et d'une terrasse avec un coin barbecue aménagé. Un garage complète ce bien. Si vous recherchez une maison dans un cadre idélique et verdoyant à proximité de toute commodité, cette maison est faite pour vous et saura ravir toute votre famille !</p><p> A visiter sans tarder !!</p><p>Cette annonce vous est proposée par Pesenti Alexandre, NoRSAC:, Enregistré à de.</p><butto",208.0,48.0,"['Orientation Sud', 'Piscine', 'Cheminée', 'Surface de 300m²', 'Bâtiment de 2 étages', '10 Pièces', '4 Chambres', '1 Salle de bain', ""1 Salle d'eau"", '3 Toilettes', 'Chauffage individuel gaz radiateur', 'Cuisine aucune', 'Une entrée', 'Terrain de 322m²']",Acheter
Maison / Villa,"Quartier <!-- -->Centre Ville<!-- -->, <!-- -->Fréjus",7 pièces,200 m²,9 pièces,700 000 €,2 894 €,"style=""max-height: 66px;""><p>Bastide 7 pièces sur terrain de 6465m² Bastide d'architecture Aixoise d'une superficie de 200m² habitables environ comprenant 4 chambres, salle à manger et séjour double. Prestations haut de gamme. 2 Garages doubles et un vaste sous-sol. Terrain plat de 6465m² non divisible et aménagé en prairie, idéal pour les passionnés de chevaux. Dépendance de 40m² environ à aménager. Proche accès autoroute.</p><butto",,,"['Orientation Sud', '1 Terrasse', 'Vue', 'Surface de 212,77m²', 'Bâtiment de 1 étage', '7 Pièces', '4 Chambres', 'Année de construction 2005', '1 Salle de bain', '2 Toilettes', 'Toilette séparée', 'Chauffage sol', 'Cuisine séparée', 'Salle à manger : 17,61m²', 'Salle de séjour : 19,53m²', 'Terrain de 6465m²', '2 Boxs']",Acheter
Maison / Villa,Bruyères-le-Châtel,5 pièces,107 m²,4 pièces,269 000 €,1 118 €,"style=""max-height: 66px;""><p>Au sein d'un environnement calme au centre ville, Orpi vous propose en exclusivité cette charmante maison de 98m² élevée sur sous-sol.. Elle comprend au rez-de-chaussée, une entrée avec placards, un séjour donnant sur terrasse, une cuisine ouverte aménagée, une salle d'eau avec un WC.. A l'étage, un grand palier (pouvant faire office de bureau) dessert 3 chambres, une salle de bain et un WC séparé.. Combles. Le tout édifié sur une jolie parcelle de 330m² idéalement exposée et sans vis-à-vis.. Garage 269000 euros Honoraires à la charge du vendeur.</p><butto",520.0,156.0,"['1 Terrasse', 'Surface de 98m²', '6 Pièces', '3 Chambres', '2 Salles de bain', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Rangements', 'Chauffage individuel', 'Une entrée', 'Salle de séjour : 26,51m²', 'Terrain de 330m²', 'Calme']",Acheter
Appartement,"Quartier <!-- -->Abbaye-La Motte<!-- -->, <!-- -->Villeneuve-lès-Avignon",4 pièces,89 m²,3 pièces,221 000 €,920 €,"style=""max-height: 66px;""><p>Villeneuve centre ville historique, spacieux appartement de type 3, en excellent état, en 1er étage avec ascenseur, disposant de deux chambres, uns salle d'eau, un grand salon salle à manger, cuisine aménagée et équipée, commerces à proximités, possibilité d'acquérir une place de parking. Copropriété de 12 lots (Pas de procédure en cours).</p><butto",208.0,11.0,"['Orientation Sud-Ouest', 'Ascenseur', 'Surface de 77m²', 'Bâtiment de 2 étages', '3 Pièces', '2 Chambres', 'Année de construction 2004', 'Au 1er étage', ""1 Salle d'eau"", '1 Toilette', 'Chauffage individuel électrique', 'Cuisine équipée', 'Salle à manger', 'Orientation Ouest']",Acheter
Appartement,"Quartier <!-- -->Les Garennes<!-- -->, <!-- -->Guyancourt",6 pièces,93.55 m²,5 pièces,410 000 €,1 699 €,"style=""max-height: 66px;""><p>Appartement de 4 pièces de 95m² avec jardin Emménagez immédiatement et profitez des Frais de notaire réduits pour cet appartement de 4 pièces exposée SUD au sein d'une magnifique résidence de standing aux dernières normes RT2012 idéalement située dans le quartier calme et résidentiel des Garennes. L'appartement propose: Entrée avec placard, séjour, cuisine, 3 chambres avec placard, salle de bains, WC séparés, deux places de parking intérieur et une cave. Une belle opportunité ! Venez visiter !</p><butto",49.0,4.0,"['Orientation Sud', 'Cave', '2 Balcons', 'Surface de 95m²', 'Bâtiment de 4 étages', '4 Pièces', '3 Chambres', 'Rez-de-chaussée', 'Adapté PMR', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Toilette séparée', 'Rangements', 'Cuisine séparée', 'Une entrée', 'Salle de séjour', '2 Parkings', 'Interphone', 'Digicode', 'Calme']",Acheter
Maison / Villa,Bossay-sur-Claise,10 pièces,259 m²,8 pièces,189 000 €,788 €,"style=""max-height: 66px;""><p>BOSSAY SUR CLAISE / CORPS DE FERME offrant au rez-de-chaussée: séjour, salle à manger, cuisine équipée, dégagement, bureau, chambre/ dressing, salle d'eau, WC et buanderie. A l'étage: salle de jeux, 4 chambres et salle d'eau/WC. DPE VIERGE. Dépendances: atelier et cuisine d'été. Grange avec panneaux photovoltaïques, écuries et hangar. Terrain autour avec puits, l'ensemble sur env. 4 202m². 189.000 EUR FAI (dont 6,18 % de FA TTC) / Réf 4953 dont 6.18 % honoraires TTC à la charge de l'acquéreur.</p><butto",,,"['Cheminée', 'Surface de 220m²', 'Bâtiment de 1 étage', '8 Pièces', '5 Chambres', ""2 Salles d'eau"", '2 Toilettes', 'Chauffage individuel', 'Cuisine équipée', 'Salle à manger', 'Salle de séjour : 29m²', 'Terrain de 4202m²']",Acheter
Maison / Villa,"Quartier <!-- -->Chateau Gaillard<!-- -->, <!-- -->Dammarie-les-Lys",6 pièces,120 m²,5 pièces,329 000 €,1 365 €,"style=""max-height: 66px;""><p>Située dans un environnement pavillonnaire et recherché, maison indépendante, refait à neuf avec des prestations de qualités, en lot arrière sans aucun vis-à-vis, elle est composée au rez-de-chaussée d'une entrée, d'un double séjour traversant avec cheminée insert, une vaste cuisine aménagée, un second espace salon, suite parentale possible et WC indépendant. A l'étage un palier desservant quatre chambres, une salle de bains et WC indépendant.</p><butto",254.0,12.0,"['Cheminée', 'Surface de 128,22m²', 'Bâtiment de 1 étage', '7 Pièces', '5 Chambres', 'Année de construction 1975', '1 Salle de bain', ""1 Salle d'eau"", '2 Toilettes', 'Chauffage individuel électrique radiateur', 'Cuisine américaine équipée', 'Une entrée', 'Salle de séjour : 38,82m²', 'Terrain de 655m²', '1 Box', 'Orientation Ouest']",Acheter
Appartement,"Quartier <!-- -->Saint Maurice-Fetilly<!-- -->, <!-- -->La Rochelle",2 pièces,53 m²,3 pièces,170 000 €,710 €,"style=""max-height: 66px;""><p>IAD France - Emmanuelle KERDELHUE vous propose: Dans le quartier de BEL AIR, à 10mn en vélo du vieux port, de la place de verdun et de la plage de la Concurrence, dans une copropriété calme de 4 étages, appartement orienté Est/Ouest proche des commerces. Il se compose d'une entrée avec placard, salle d'eau, WC séparés, 3 chambres. Vue dégagée sans vis à vis, parking extérieur et cave. Rafraîchissement à prévoir ainsi que travaux cuisine et salle d'eau.</p><p>La présente annonce immobilière vise 1 lot principal situé dans une copropriété formant 40 lots au total ne faisant l'objet d'aucune procédure en cours et d'un montant de charges d'environ 95 euros par mois (soit 1140 euros annuel) déclaré par le vendeur.Honoraires d'agence à la charge du vendeur. Information d'affichage énergétique sur ce bien: DPE E indice 321 et GES C indice 17. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mlle Emmanuelle KERDELHUE (ID 35518), Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de LA ROCHELLE sous le numéro 845187566.</p><butto",321.0,17.0,"['Cave', 'Vue', 'Surface de 64m²', 'Bâtiment de 4 étages', '4 Pièces', '3 Chambres', 'Année de construction 1960', 'Rez-de-chaussée', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Rangements', 'Chauffage individuel électrique radiateur', 'Cuisine équipée', 'Une entrée', 'Salle de séjour : 20m²', '1 Parking', 'Travaux', 'Interphone', 'Digicode', 'Calme']",Acheter
Maison / Villa,Enghien-les-Bains,9 pièces,230 m²,9 pièces,1 190 000 €,4 913 €,"style=""max-height: 66px;""><p>EXCLUSIVITÉ STEPHANE PLAZA IMMOBILIER LAC D'ENGHIEN !! A 5 minutes à pieds de la gare et 10 minutes à pieds du centre ville d'ENGHIEN LES BAINS. Vous trouverez au sein de cette charmante maison entièrement rénovée, en rez-de-chaussée surélevé: une pièce de vie de 45 m², une salle à manger ouverte sur cuisine et accès terrasse, dégagement avec placards, deux chambres, salle d'eau, WC. Au premier étage deux chambres, salle d'eau WC, au deuxième étage une grande chambre, et vaste salle de bains. Sous-sol total avec grand garage. Terrain d'environ 1000 m² en bord de lac, 17 mètres de berges. Vue exceptionnelle et calme absolu. Possibilité extension. Toiture neuve en zing, isolation par l'extérieur, triple vitrage.</p><butto",,,"['1 Terrasse', 'Vue', 'Surface de 190m²', '8 Pièces', '5 Chambres', '1 Salle de bain', ""1 Salle d'eau"", '1 Toilette', 'Toilette séparée', 'Rangements', 'Chauffage individuel', 'Cuisine aucune', 'Salle à manger', 'Terrain de 950m²', 'Orientation Est', 'Calme']",Acheter
